"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Alcance,Impressões,Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)","Valor de conversão da compra no site","Adições ao carrinho","Finalizações de compra iniciadas","Inclusões de informações de pagamento","ROAS (retorno sobre o investimento em publicidade) das compras","Cliques no link","Visualizações da página de destino do site",HOOKRATE,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","CTR de saída único","CPM (custo por 1.000 impressões) (BRL)","Custo por visualização da página de destino (BRL)","Custo por finalização de compra iniciada (BRL)","Custo por adição ao carrinho (BRL)","Salvamentos do post",Frequência,"Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão","Reproduções do vídeo por no mínimo 3 segundos","Reproduções de 25% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo"
2023-03-27,2026-04-27,[IMG1],not_delivering,6,Diário,546,603,,,,12.15,,,,,,19,18,0,0.639474,3.150912,3.113553,20.149254,0.675,,,3,1.104396,–,–,–,,,,
2023-03-27,2026-04-27,[VID1],not_delivering,6,Diário,313,330,,,,8.95,,,,,,3,3,0.26969697,2.983333,0.909091,0.638978,27.121212,2.983333,,,,1.054313,–,–,–,89,47,25,13
2023-03-27,2026-04-27,[IMG4],not_delivering,6,Diário,550,614,,,,10.64,,1,,,,13,10,0,0.818462,2.117264,2.363636,17.32899,1.064,,10.64,,1.116364,–,–,–,,,,
2023-03-27,2026-04-27,[IMG3],not_delivering,6,Diário,503,550,,,,11.72,,,,,,17,15,0,0.689412,3.090909,3.180915,21.309091,0.781333,,,,1.093439,–,–,–,,,,
2023-03-27,2026-04-27,[IMG2],not_delivering,6,Diário,425,482,,,,8.65,,,,,,9,8,0,0.961111,1.86722,2.117647,17.946058,1.08125,,,1,1.134118,–,–,–,,,,
2023-03-27,2026-04-27,[VID2],not_delivering,6,Diário,298,306,,,,9,,,,,,3,3,0.24183007,3,0.980392,1.006711,29.411765,3,,,,1.026846,–,–,–,74,81,50,39
2023-03-27,2026-04-27,[IMG1],not_delivering,10,Diário,499,544,,,,8.94,,,,,,4,3,0,2.235,0.735294,0.601202,16.433824,2.98,,,,1.09018,–,–,–,,,,
2023-03-27,2026-04-27,[VID2],not_delivering,10,Diário,212,223,,,,7.31,,,,,,3,2,0.37668161,2.436667,1.345291,1.415094,32.780269,3.655,,,,1.051887,–,–,–,84,62,30,18
2023-03-27,2026-04-27,[IMG3],not_delivering,10,Diário,500,500,,,,9.17,,,,,,5,5,0,1.834,1,1,18.34,1.834,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,[IMG2],not_delivering,10,Diário,791,872,,,,18.07,,1,,,,19,19,0,0.951053,2.178899,2.149178,20.722477,0.951053,,18.07,2,1.102402,–,–,–,,,,
2023-03-27,2026-04-27,[VID1],not_delivering,10,Diário,228,244,,,,9.44,,2,,,,6,6,0.46721311,1.573333,2.459016,2.631579,38.688525,1.573333,,4.72,,1.070175,–,–,–,114,52,29,15
2023-03-27,2026-04-27,[IMG1],not_delivering,6,Diário,707,791,,,,15.26,,,,,,24,22,0,0.635833,3.034134,3.11174,19.292035,0.693636,,,,1.118812,–,–,–,,,,
2023-03-27,2026-04-27,[IMG1],not_delivering,6,Diário,518,567,1,actions:offsite_conversion.fb_pixel_purchase,11.97,11.97,319.8,4,1,1,26.716792,9,9,0,1.33,1.587302,1.544402,21.111111,1.33,11.97,2.9925,,1.094595,–,–,–,,,,
2023-03-27,2026-04-27,[IMG1],not_delivering,6,Diário,527,573,,,,11.83,,,,,,15,13,0,0.788667,2.617801,2.466793,20.645724,0.91,,,,1.087287,–,–,–,,,,
2023-03-27,2026-04-27,[IMG1],not_delivering,6,Diário,397,432,,,,11.22,,,,,,13,15,0,0.863077,3.009259,3.274559,25.972222,0.748,,,2,1.088161,–,–,–,,,,
2023-03-27,2026-04-27,[IMG1],not_delivering,6,Diário,517,570,,,,10.79,,,,,,9,9,0,1.198889,1.578947,1.547389,18.929825,1.198889,,,,1.102515,–,–,–,,,,
2023-03-27,2026-04-27,[VID],not_delivering,10,Diário,738,791,,,,19.65,,4,,,,13,13,0.24399494,1.511538,1.643489,1.761518,24.841972,1.511538,,4.9125,2,1.071816,–,–,–,193,70,41,29
2023-03-27,2026-04-27,[VID],not_delivering,10,Diário,803,841,1,actions:offsite_conversion.fb_pixel_purchase,16.61,16.61,79.9,2,1,1,4.810355,14,12,0.2508918,1.186429,1.664685,1.743462,19.750297,1.384167,16.61,8.305,1,1.047323,–,–,–,211,68,59,32
2023-03-27,2026-04-27,[VID],not_delivering,20,Diário,3802,4458,5,actions:offsite_conversion.fb_pixel_purchase,18.57,92.85,1158.6,29,6,4,12.478191,75,76,0.27074921,1.238,1.682369,1.867438,20.827725,1.221711,15.475,3.201724,4,1.172541,–,–,–,1207,370,281,161
2023-03-27,2026-04-27,[VID],not_delivering,13,Diário,3197,3471,2,actions:offsite_conversion.fb_pixel_purchase,39.545,79.09,239.7,16,2,2,3.030724,56,53,0.25727456,1.412321,1.613368,1.689084,22.785941,1.492264,39.545,4.943125,1,1.085705,–,–,–,893,287,189,111
2023-03-27,2026-04-27,[VID],not_delivering,10,Diário,724,739,,,,15.09,,5,,,,9,10,0.21921516,1.676667,1.217862,1.243094,20.419486,1.509,,3.018,1,1.020718,–,–,–,162,51,31,27
2023-03-27,2026-04-27,[VID],not_delivering,10,Diário,609,626,,,,9.41,,4,,,,4,2,0.22523962,2.3525,0.638978,0.656814,15.031949,4.705,,2.3525,2,1.027915,–,–,–,141,68,32,11
2023-03-27,2026-04-27,[IMGVERM],not_delivering,10,Diário,686,716,,,,9.19,,,,,,6,6,0,1.531667,0.837989,0.874636,12.835196,1.531667,,,,1.043732,–,–,–,,,,
2023-03-27,2026-04-27,[IMGPRETA],not_delivering,10,Diário,634,649,,,,9.54,,,,,,4,4,0,2.385,0.616333,0.630915,14.699538,2.385,,,,1.023659,–,–,–,,,,
2023-03-27,2026-04-27,[CAR],not_delivering,10,Diário,593,601,,,,9.62,,,,,,6,6,0,1.603333,0.998336,1.011804,16.006656,1.603333,,,,1.013491,–,–,–,,,,
2023-03-27,2026-04-27,[CAR129],not_delivering,10,Diário,557,619,,,,14.89,,4,,,,7,6,0,2.127143,1.130856,1.256733,24.054927,2.481667,,3.7225,,1.111311,–,–,–,,,,
2023-03-27,2026-04-27,[IMGAZUL],not_delivering,10,Diário,773,798,,,,9.41,,,,,,5,5,0,1.882,0.626566,0.646831,11.79198,1.882,,,,1.032342,–,–,–,,,,
2023-03-27,2026-04-27,[VID],not_delivering,12,Diário,2398,2616,1,actions:offsite_conversion.fb_pixel_purchase,40.63,40.63,79.9,10,2,1,1.966527,38,37,0.25267584,1.069211,1.452599,1.45955,15.531346,1.098108,20.315,4.063,,1.090909,–,–,–,661,191,140,83
2023-03-27,2026-04-27,[IMG2],not_delivering,10,Diário,1138,1290,,,,25.26,,1,1,,,15,15,0,1.684,1.162791,1.054482,19.581395,1.684,25.26,25.26,,1.133568,–,–,–,,,,
2023-03-27,2026-04-27,[IMG1],not_delivering,20,Diário,5629,7461,3,actions:offsite_conversion.fb_pixel_purchase,34.24666667,102.74,479.4,14,5,1,4.666148,75,69,0,1.369867,1.005227,1.261325,13.770272,1.488986,20.548,7.338571,2,1.325457,–,–,–,,,,
2023-03-27,2026-04-27,[VID2],not_delivering,12,Diário,1659,1866,1,actions:offsite_conversion.fb_pixel_purchase,43.96,43.96,159.8,4,2,2,3.635123,23,21,0.25723473,1.911304,1.232583,1.3261,23.558414,2.093333,21.98,10.99,2,1.124774,–,–,–,480,218,101,68
2023-03-27,2026-04-27,VID1,not_delivering,10,Diário,1107,1133,,,,18.01,,2,,,,27,23,0.47131509,0.667037,2.383054,2.34869,15.895852,0.783043,,9.005,1,1.023487,–,–,–,534,499,399,241
2023-03-27,2026-04-27,CAR,not_delivering,10,Diário,459,479,,,,9.23,,,,,,6,6,0,1.538333,1.25261,1.30719,19.269311,1.538333,,,,1.043573,–,–,–,,,,
2023-03-27,2026-04-27,VID4,not_delivering,10,Diário,983,1000,,,,18.22,,3,,,,19,17,0.566,0.958947,1.9,1.932859,18.22,1.071765,,6.073333,1,1.017294,–,–,–,566,478,343,279
2023-03-27,2026-04-27,VID3,not_delivering,10,Diário,537,561,,,,15.13,,,,,,11,11,0.52941176,1.375455,1.960784,2.048417,26.969697,1.375455,,,,1.044693,–,–,–,297,209,136,90
2023-03-27,2026-04-27,VID2,not_delivering,10,Diário,850,866,,,,17.95,,2,,,,16,11,0.59353349,1.121875,1.847575,1.882353,20.727483,1.631818,,8.975,1,1.018824,–,–,–,514,476,331,242
2023-03-27,2026-04-27,VID1,not_delivering,6,Diário,340,349,,,,5.78,,,,,,2,2,0.4469914,2.89,0.573066,0.588235,16.561605,2.89,,,,1.026471,–,–,–,156,146,120,72
2023-03-27,2026-04-27,VID1,not_delivering,10,Diário,504,527,,,,8.49,,2,1,,,9,7,0.52751423,0.943333,1.70778,1.785714,16.110057,1.212857,8.49,4.245,2,1.045635,–,–,–,278,261,217,129
2023-03-27,2026-04-27,VID1,not_delivering,6,Diário,378,392,,,,6.04,,,,,,6,5,0.50255102,1.006667,1.530612,1.587302,15.408163,1.208,,,1,1.037037,–,–,–,197,190,152,86
2023-03-27,2026-04-27,VID1,not_delivering,6,Diário,342,352,,,,5.84,,,,,,3,4,0.51136364,1.946667,0.852273,0.877193,16.590909,1.46,,,,1.02924,–,–,–,180,174,141,83
2023-03-27,2026-04-27,VID1,not_delivering,6,Diário,354,367,,,,6.16,,,,,,3,3,0.53405995,2.053333,0.817439,0.847458,16.784741,2.053333,,,,1.036723,–,–,–,196,184,153,98
2023-03-27,2026-04-27,[VID],not_delivering,6,Diário,52,53,,,,1.2,,,,,,,,0.20754717,,,,22.641509,,,,,1.019231,–,–,–,11,6,2,2
2023-03-27,2026-04-27,[CAR],not_delivering,6,Diário,155,155,,,,1.45,,,,,,,,0,,,,9.354839,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,[VID],not_delivering,6,Diário,26,26,,,,0.28,,,,,,,,0.19230769,,,,10.769231,,,,,1,–,–,–,5,1,,
2023-03-27,2026-04-27,[CAR],not_delivering,6,Diário,81,83,,,,1.04,,,,,,1,1,0,1.04,1.204819,1.234568,12.53012,1.04,,,,1.024691,–,–,–,,,,
2023-03-27,2026-04-27,[VID],inactive,15,Diário,95,95,,,,1.95,,,,,,2,2,0.23157895,0.975,2.105263,2.105263,20.526316,0.975,,,,1,–,–,–,22,10,6,3
2023-03-27,2026-04-27,[CAR],not_delivering,6,Diário,93,100,,,,1.33,,,,,,,,0,,,,13.3,,,,,1.075269,–,–,–,,,,
2023-03-27,2026-04-27,[CAR],not_delivering,15,Diário,601,612,,,,8.34,,,,,,9,8,0,0.926667,1.470588,1.497504,13.627451,1.0425,,,,1.018303,–,–,–,,,,
2023-03-27,2026-04-27,[VID],inactive,20,Diário,43,45,,,,0.92,,,,,,,,0.28888889,,,,20.444444,,,,1,1.046512,–,–,–,13,7,3,1
2023-03-27,2026-04-27,[CAR],not_delivering,20,Diário,857,934,,,,11.02,,1,,,,19,17,0,0.58,2.034261,1.750292,11.798715,0.648235,,11.02,1,1.089848,–,–,–,,,,
2023-03-27,2026-04-27,[VID],not_delivering,6,Diário,13,13,,,,0.58,,,,,,1,1,0.30769231,0.58,7.692308,7.692308,44.615385,0.58,,,,1,–,–,–,4,1,,1
2023-03-27,2026-04-27,[IMAGEM1],not_delivering,6,Diário,65,66,,,,1.37,,,,,,,,0,,,,20.757576,,,,,1.015385,–,–,–,,,,
2023-03-27,2026-04-27,[IMAGEM1],not_delivering,6,Diário,83,84,,,,1.17,,,,,,,,0,,,,13.928571,,,,,1.012048,–,–,–,,,,
2023-03-27,2026-04-27,[IMAGEM1],not_delivering,6,Diário,65,67,,,,1.18,,,,,,,,0,,,,17.61194,,,,,1.030769,–,–,–,,,,
2023-03-27,2026-04-27,[VID],not_delivering,15,Diário,322,329,,,,10.72,,1,,,,7,6,0.30091185,1.531429,2.12766,2.173913,32.583587,1.786667,,10.72,,1.021739,–,–,–,99,47,31,24
2023-03-27,2026-04-27,[VID],not_delivering,6,Diário,5,5,,,,1.24,,,,,,,,0.4,,,,248,,,,,1,–,–,–,2,,,
2023-03-27,2026-04-27,[VID],not_delivering,6,Diário,5,5,,,,1.64,,,,,,,,0.6,,,,328,,,,,1,–,–,–,3,1,1,1
2023-03-27,2026-04-27,[VID],not_delivering,6,Diário,5,5,,,,1.05,,,,,,,,0.4,,,,210,,,,,1,–,–,–,2,2,1,
2023-03-27,2026-04-27,[VID],not_delivering,6,Diário,1,1,,,,0.37,,,,,,,,0,,,,370,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,[VID],not_delivering,25,Diário,3225,3391,,,,37.04,,15,2,1,,66,60,0.2365084,0.561212,1.946329,1.891473,10.923032,0.617333,18.52,2.469333,,1.051473,–,–,–,802,245,205,113
2023-03-27,2026-04-27,[IMG],not_delivering,25,Diário,2667,3403,1,actions:offsite_conversion.fb_pixel_purchase,38.1,38.1,129.9,1,1,1,3.409449,32,19,0,1.190625,0.940347,1.162355,11.196004,2.005263,38.1,38.1,1,1.275966,–,–,–,,,,
2023-03-27,2026-04-27,IM1,not_delivering,"Usando orçamento da campanha",0,79,79,,,,1.24,,,,,,1,1,0,1.24,1.265823,1.265823,15.696203,1.24,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM2,not_delivering,"Usando orçamento da campanha",0,4,4,,,,0,,,,,,,,0,,,,0,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM3,not_delivering,"Usando orçamento da campanha",0,5,5,,,,0.11,,,,,,,,0,,,,22,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM4,not_delivering,"Usando orçamento da campanha",0,12,12,,,,0.08,,,,,,,,0,,,,6.666667,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM5,not_delivering,"Usando orçamento da campanha",0,12,12,,,,0.06,,,,,,,,0,,,,5,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM4,not_delivering,"Usando orçamento da campanha",0,366,376,,,,5.28,,,,,,5,2,0,1.056,1.329787,1.36612,14.042553,2.64,,,,1.027322,–,–,–,,,,
2023-03-27,2026-04-27,IM3,not_delivering,"Usando orçamento da campanha",0,33,34,,,,0.46,,,,,,,,0,,,,13.529412,,,,,1.030303,–,–,–,,,,
2023-03-27,2026-04-27,IM4,not_delivering,"Usando orçamento da campanha",0,27,27,,,,0.63,,,,,,,1,0,,,,23.333333,0.63,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM4,not_delivering,"Usando orçamento da campanha",0,19,20,,,,0.5,,,,,,1,1,0,0.5,5,5.263158,25,0.5,,,,1.052632,–,–,–,,,,
2023-03-27,2026-04-27,IM4,not_delivering,"Usando orçamento da campanha",0,139,140,,,,2.05,,,,,,3,2,0,0.683333,2.142857,2.158273,14.642857,1.025,,,,1.007194,–,–,–,,,,
2023-03-27,2026-04-27,IM5,not_delivering,"Usando orçamento da campanha",0,10,10,,,,0.04,,,,,,1,1,0,0.04,10,10,4,0.04,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM5,not_delivering,"Usando orçamento da campanha",0,87,88,,,,1.21,,,,,,,,0,,,,13.75,,,,,1.011494,–,–,–,,,,
2023-03-27,2026-04-27,IM5,not_delivering,"Usando orçamento da campanha",0,13,13,,,,0.22,,,,,,1,,0,0.22,7.692308,7.692308,16.923077,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM5,not_delivering,"Usando orçamento da campanha",0,125,129,,,,2.69,,,,,,1,,0,2.69,0.775194,0.8,20.852713,,,,,1.032,–,–,–,,,,
2023-03-27,2026-04-27,IM3,not_delivering,"Usando orçamento da campanha",0,21,21,,,,0.34,,,,,,,,0,,,,16.190476,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM3,not_delivering,"Usando orçamento da campanha",0,5,5,,,,0.03,,,,,,,,0,,,,6,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM3,not_delivering,"Usando orçamento da campanha",0,1,1,,,,0,,,,,,,,0,,,,0,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM3,not_delivering,"Usando orçamento da campanha",0,1,1,,,,0,,,,,,,,0,,,,0,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM2,not_delivering,"Usando orçamento da campanha",0,1,1,,,,0.02,,,,,,,,0,,,,20,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM2,not_delivering,"Usando orçamento da campanha",0,5,5,,,,0.03,,,,,,,,0,,,,6,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM2,not_delivering,"Usando orçamento da campanha",0,3,3,,,,0.04,,,,,,,,0,,,,13.333333,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM1,not_delivering,"Usando orçamento da campanha",0,1,1,,,,0,,,,,,,,0,,,,0,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM1,not_delivering,"Usando orçamento da campanha",0,1,1,,,,0.01,,,,,,,,0,,,,10,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM1,not_delivering,"Usando orçamento da campanha",0,5,5,,,,0.19,,,,,,,,0,,,,38,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM1,not_delivering,"Usando orçamento da campanha",0,3,3,,,,0.03,,,,,,,,0,,,,10,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM5,not_delivering,"Usando orçamento da campanha",0,7,7,,,,0,,,,,,,,0,,,,0,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM4,not_delivering,"Usando orçamento da campanha",0,155,158,,,,0.99,,,,,,3,3,0,0.33,1.898734,1.935484,6.265823,0.33,,,,1.019355,–,–,–,,,,
2023-03-27,2026-04-27,IM4,not_delivering,"Usando orçamento da campanha",0,531,563,,,,4.06,,1,,,,8,8,0,0.5075,1.420959,1.506591,7.211368,0.5075,,4.06,1,1.060264,–,–,–,,,,
2023-03-27,2026-04-27,IM4,not_delivering,"Usando orçamento da campanha",0,395,407,,,,4.74,,,,,,6,5,0,0.79,1.474201,1.518987,11.646192,0.948,,,,1.03038,–,–,–,,,,
2023-03-27,2026-04-27,IM4,not_delivering,"Usando orçamento da campanha",0,500,509,,,,3.5,,,,,,6,5,0,0.583333,1.178782,1.2,6.876228,0.7,,,1,1.018,–,–,–,,,,
2023-03-27,2026-04-27,IM5,not_delivering,"Usando orçamento da campanha",0,8,8,,,,0,,,,,,,,0,,,,0,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM4,not_delivering,"Usando orçamento da campanha",0,323,330,,,,3.45,,,,,,3,3,0,1.15,0.909091,0.928793,10.454545,1.15,,,1,1.021672,–,–,–,,,,
2023-03-27,2026-04-27,IM5,not_delivering,"Usando orçamento da campanha",0,2,2,,,,0,,,,,,,,0,,,,0,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM4,not_delivering,"Usando orçamento da campanha",0,26,26,,,,0.16,,,,,,1,1,0,0.16,3.846154,3.846154,6.153846,0.16,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,IM5,not_delivering,"Usando orçamento da campanha",0,25,25,,,,0.16,,,,,,,,0,,,,6.4,,,,,1,–,–,–,,,,
2023-03-27,2026-04-27,[VID],not_delivering,25,Diário,737,763,,,,28.01,,2,,,,16,14,0.21100917,1.750625,2.096986,2.170963,36.710354,2.000714,,14.005,1,1.035278,–,–,–,161,98,50,43
2023-03-27,2026-04-27,[VID],not_delivering,25,Diário,841,913,,,,32.86,,2,,,,20,20,0.21577218,1.643,2.190581,2.259215,35.991238,1.643,,16.43,1,1.085612,–,–,–,197,127,64,45
2023-03-27,2026-04-27,[VID],not_delivering,25,Diário,881,945,,,,33.43,,2,,,,12,11,0.21587302,2.785833,1.269841,1.362089,35.375661,3.039091,,16.715,2,1.072645,–,–,–,204,126,76,64
